Name,Inventory URL
Office of the Conflict of Interest Commissioner,http://www.coicommissioner.gov.on.ca/blogs/media/2017/03/Table-for-Data-Inventory-Posting_v.-5_2017-03-21.pdf
Office of the Employer Adviser,http://www.employeradviser.ca/wp-content/uploads/2016/11/Open-Government-OEA-Data-Inventory-2016_ENG.xlsx
Office of the Fairness Commissioner,http://www.fairnesscommissioner.com/files_docs/content/xls/en/Data%20Inventory.xlsx
Office of the Independent Police Review Director,http://www.oiprd.on.ca/EN/AboutUs/Pages/Open-Data.aspx
Office of the Worker Adviser,http://www.owa.gov.on.ca/en/about/Files/OWA%20Open%20Government%20%20Data%20Inventory%20June%202016.csv
Ontario Agency for Health Protection and Promotion,https://www.publichealthontario.ca/en/About/Pages/Data.aspx
Ontario Capital Growth Corporation,http://www.ocgc.gov.on.ca/files_docs/content/userfiles/EnglishInventory.csv
Ontario Civilian Police Commission,http://www.slasto.gov.on.ca/en/documents/DataInv_english.csv
Ontario Energy Board,http://www.ontarioenergyboard.ca/OEB/Open+Data
Ontario Farm Products Marketing Commission,http://www.omafra.gov.on.ca/english/farmproducts/factsheets/ofpmcdatainventory.csv
Ontario Financing Authority,http://www.ofina.on.ca/open/../pdf/ofa_inventory_list_eng.csv
Ontario Food Terminal Board,http://www.oftb.com/sites/default/files/sites/default/files/documents/oftb_data_set_report_-_english_-_csv.csv
Ontario Health Quality Council,http://www.hqontario.ca/portals/0/documents/policies-procedures/open-data-inventory-07-2017-en.csv
Ontario Heritage Trust,http://www.heritagetrust.on.ca/Resources-and-Learning/Open-Data.aspx
Ontario Human Rights Commission,http://www.ohrc.on.ca/sites/default/files/OHRC%20open%20data%20inventory%20July%2029%202016.csv
Ontario Infrastructure and Lands Corporation,http://www.infrastructureontario.ca/Open-Data-Inventory/
Ontario Labour Relations Board,http://www.olrb.gov.on.ca/english/OpenData/OLRB_Open_Data_Inventory_EN-FR.xlsx
Ontario Lottery and Gaming Corporation,http://www.olg.ca/assets/documents/media/Data_Inventory_2016.xlsx
Ontario Media Development Corporation,http://www.omdc.on.ca/Assets/Research/English/Open+Data/July+29$!2c+2016+Data+Inventory+excel+chart.csv
Ontario Municipal Board,http://elto.gov.on.ca/wp-content/uploads/2016/10/ELTO-Open-Government-Data-Inventory_EN.csv
Ontario Northland Transportation Commission,http://www.ontarionorthland.ca/en/open
Ontario Parole Board,http://www.slasto.gov.on.ca/en/documents/DataInv_english.csv
Ontario Racing Commission,http://racing.agco.on.ca/about-agco/open-data/data-inventory
Ontario Review Board,http://www.orb.on.ca/scripts/en/accountability/ORB Data Inventory.xlsx
Ontario Securities Commission,http://www.osc.gov.on.ca/documents/en/About/20160729_osc-open-data-inventory.xlsx
Ontario Special Education Tribunal (English),http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Ontario Special Education Tribunal (French),http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Ontario Tourism Marketing Partnership Corporation,https://www.tourismpartners.com/api/documents/VTTecnxkVkmA2n6Deif9BQ/download
Ontario Trillium Foundation,http://www.otf.ca/sites/default/files/otf_data_inventory_en.xlsx
Ottawa Convention Centre Corporation,http://www.shaw-centre.com/wp-content/uploads/2016/08/Open-Data-Inventory-List-EN.pdf
Owen Sound Transportation Company,http://www.ontarioferries.com/wp-content/uploads/2017/11/OSTC-2016-Data-Inventory-.csv,http://www.ontarioferries.com/wp-content/uploads/2017/11/OSTC-2017-Data-Inventory-.csv
Pay Equity Hearings Tribunal,http://www.olrb.gov.on.ca/pec/peht/OpenData/PEHT_Data_Inventory_EN-FR.xlsx
Pay Equity Office,http://www.payequity.gov.on.ca/en/AboutUs/Pages/open_gov_data_inventory.aspx
Physician Payment Review Board,http://www.pprb.on.ca/en/Open/
Province of Ontario Council for the Arts (Ontario Arts Council),http://arts.on.ca/oac/media/oac/Research%20and%20Impact/Open%20Data/OAC-Data-Inventory_Final_July2016.csv
Public Accountants Council,http://www.pacont.org/static/upload/Open Data - The Public Accountants Council for the Province of Ontario.xlsx
Public Service Grievance Board,http://www.psab.gov.on.ca/english/psgb/pdf doc english/psgb_open_data_posting_june_2016.pdf
Royal Ontario Museum,https://www.rom.on.ca/en/about-us/reports-policy/open-data-directive
Science North,https://sciencenorth.ca/about/corporate/accountability/open-data/downloads/SCN_TBS_Approved_Inventory.csv
Social Benefits Tribunal,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Social Justice Tribunal Ontario,http://www.sjto.gov.on.ca/documents/sjto/CSV-SJTO-Open Data Inventory-Test.csv
Soldiers’ Aid Commission,http://www.mcss.gov.on.ca/en/mcss/open/sac/../../../../documents/en/mcss/open/DataInventory_SAC_July2016.csv
St. Lawrence Parks Commission,http://www.parks.on.ca/default/assets/File/Open%20Dataset%20list%20inventory_July%2015%202016_TBS%20approved%20-%20SLPC.pdf
Toronto Islands Residential Community Trust Corporation,http://torontoisland.org/land-trust/fileid/6714
Trillium Gift of Life Network,https://www.giftoflife.on.ca/resources/csv/TGLN_Data_Inventory_July_2016_-_English_Web.csv
Walkerton Clean Water Centre,https://www.wcwc.ca/resources/templates/wcwc/pdf/WCWC_Open_Data_Inventory_Final_March_31_2017.pdf
Workplace Safety and Insurance Appeals Tribunal,http://www.wsiat.on.ca/OpenData/OpenData.htm
Workplace Safety and Insurance Board,http://www.wsibopendata.ca/data/WSIBDatasetInventory.csv
